Bird's eye view of New-York & Brooklyn	1851	United States New York (State) New York. United States New York (State) Governors Island (New York County)
Bird's eye view of Philadelphia	1868	United States Pennsylvania Philadelphia.
San Francisco. Bird's-eye view	1864	United States California San Francisco.
Birds' eye view of New-Orleans	1851	United States Louisiana New Orleans.
Bird's eye view, Philadelphia	1876	United States Pennsylvania Philadelphia.
Birds eye view of the city of Washington from the dome of the U.S. Capitol	1860	United States District of Columbia Washington.
Bird's eye view of Nome with snow	undefined	United States Alaska Nome
[Bird's-eye view of town and river]	undefined	United States Alaska Anchorage
Birds-eye view of Darjeeling	undefined	India Darjeeling.
Tunis (?) - birds-eye view	undefined	Tunisia Tunis.
Bangkok - birds-eye view of river; pedestrian bridge in foreground	undefined	Thailand Bangkok.
Bangkok - birds-eye view of family boat on water	undefined	Thailand Bangkok.
Bird's eye view of Pasadena, Cal.	undefined	United States California Pasadena.
Birdeye, Altadena, California	undefined	United States California Altadena.
Birdeye, Riverside, California	undefined	United States California Riverside.
Birdseye of Anaheim, California	undefined	United States California Anaheim.
Birdseye view of Chicago	undefined	United States Illinois Chicago.
Moline, Ill., birds eye view	undefined	United States Illinois Moline.
Bird's-eye view, Chicago, 1912	undefined	United States Illinois Chicago.
Waterloo, Ia., birdseye view	undefined	United States Iowa Waterloo.
Webster City, Ia., birdseye view	undefined	United States Iowa Webster City.
Birds eye view, Ottumwa, IA	undefined	United States Iowa Ottumwa.
Ft. Dodge, IA, birds eye view	undefined	United States Iowa Fort Dodge.
Birds eye view, Ft. Madison, IA	undefined	United States Iowa Fort Madison.
Birdseye view, Cedar Rapids, IA	undefined	United States Iowa Cedar Rapids.
Birdseye view, Council Bluffs, IA	undefined	United States Iowa Council Bluffs.
Woodward, IA, birdseye view	undefined	United States Iowa Woodward.
Birds eye view, Davenport, IA	undefined	United States Iowa Davenport.
[Colfax, Iowa, birds-eye view]	undefined	United States Iowa Colfax.
Birds eye view of Rochester, N.Y.	undefined	United States New York (State) Rochester.
Birdseye of Mobile, Ala.	undefined	United States Alabama Mobile.
Bird's eye panorama of Pan-American Ostrich Farms	undefined	United States Arizona Phoenix.
Bird's eye Chandler's Ranch, Mesa, Arizona	undefined	United States Arizona Mesa.
Birdeye, Kelvin, Arizona	undefined	United States Arizona Kelvin.
Birdeye, Spanglers Ranch, Mesa, Arizona	undefined	United States Arizona Mesa.
Birdeye, Phoenix, Arizona	undefined	United States Arizona Phoenix.
Birds eye view of Douglas, Ariz.	undefined	United States Arizona Douglas.
Birds' eye view, Salt River Valley	undefined	United States Arizona Salt River.
Birds eye view of Globe, Ariz.	undefined	United States Arizona Globe.
Birds eye of Roosevelt, Arizona	undefined	United States Arizona Theodore Roosevelt Dam.
[Birdseye view of Lancaster City]	undefined	United States Pennsylvania Lancaster.
Birds eye view of Boulder, Co.	undefined	United States Colorado Boulder.
Birds eye view of Colorado Springs, Colorado	undefined	United States Colorado Colorado Springs.
Birds eye view showing 3/4 of the city of Washington, D.C.	undefined	United States District of Columbia Washington (D.C.)
Birdseye view of Savannah, Ga.	undefined	United States Georgia Savannah.
Birds eye view of Evansville, Ind.	undefined	United States Indiana Evansville.
Birdseye view of Ind. Steel Co.'s plant, Gary, Ind.	undefined	United States Indiana Gary.
Birdseye view, Atchison, Kans.	undefined	United States Kansas Atchison.
Birdseye view of St. Paul from Cathedral Tower	undefined	United States Minnesota Saint Paul.
Bird eye of Duluth, Minn., from F. A. Patrick bldg.	undefined	United States Minnesota Duluth.
[Bird's-eye view of Duluth showing harbor from Point of Rocks]	undefined	United States Minnesota Duluth.
Birds eye view, Charlotte, N.C., looking north, showing Camp Greene in the background on the left	undefined	United States North Carolina Charlotte.
[Bird's eye view of cotton mill at Manchester, N.H.]	undefined	United States New Hampshire Manchester.
Birdseye view of Patterson [sic], N.J.	undefined	United States New Jersey Paterson.
Birds eye view of Middletown, Ohio	undefined	United States Ohio Middletown.
Bird eye view, Columbus flood, March 25, 1913	undefined	United States Ohio Columbus.
Bird's eye view of Canton, Ohio from McKinley Hotel	undefined	United States Ohio Canton.
