The City of Baltimore [graphic] / sketched and drawn by C.R. Parsons.	1880	United States Maryland Baltimore.
The City of Chicago [graphic] / sketched & drawn on stone by Parsons & Atwater.	1874	United States Illinois Chicago.
The city of New Orleans, and the Mississippi River [graphic] : Lake Pontchartrain in distance.	1885	United States Louisiana New Orleans.
City of New York [graphic] / sketched and drawn on stone by C. Parsons.	1856	United States New York (State) New York.
The city of St. Louis [graphic] / sketched & drawn on stone by Parsons & Atwater.	1874	United States Missouri Saint Louis.
The City of Washington [graphic] : birds-eye view from the Potomac-looking north / drawn by C.R. Parsons.	1880	United States District of Columbia Washington.
The City of Washington [graphic] : Birds-Eye view from the Potomac-looking North.	1892	United States District of Columbia Washington.
The city of greater New York [graphic] / [...] Charles Hart.	1905	United States New York (State) New York.
Sacramento city, Ca. [graphic] : from the foot of J. Street, showing I., J., & K. Sts. with the Sierra Nevada in the distance / C. Parsons ; drawn Dec. 20th 1849 by G.V. Cooper ; lith. of Wm. Endicott & Co., N. York.	1850	United States California Sacramento.
Our city, (St. Louis, Mo.) [graphic] / lith. by A. Janicke & Co., St. Louis.	1859	United States Missouri Saint Louis.
View of Sacramento City [graphic] : as it appeared during the great inundation in January 1850 / drawn from nature by Geo. W. Casilear & Henry Bainbridge ; lith. of Sarony, New York.	undefined	United States California Sacramento.
Virginia City, Nevada Territory, 1861 [graphic] / drawn from nature by Grafton T. Brown ; C.C. Kuchel, lith.	1861	United States Nevada Virginia City.
View of Baltimore City, Md., from the North [graphic] / lith. & print by E. Sachse & Co.	1862	United States Maryland Baltimore.
The city of Baltimore City, Md. in 1880 [graphic] : View from Washington Monument looking south / A. Sachse & Co. Lithographers & Printers.	1880	United States Maryland Baltimore.
City of Newark, N.J. [graphic] / Parsons & Atwater, del.	1874	United States New Jersey Newark.
City of New Brunswick, New Jersey [graphic] / Packard & Butler Lith. Philada.	1880	United States New Jersey New Brunswick.
Panoramic view of Milwaukee, Wis. [graphic] : Taken from City Hall tower / The Gugler Lithographic Co.	undefined	United States Wisconsin Milwaukee.
Panoramic view of Washington City [graphic] : from the new dome of the Capitol, looking east / drawn from nature and print. in colors by E. Sachse & Co.	1857	United States District of Columbia Washington.
Panoramic view of Washington City [graphic] : from the new dome of the Capitol, looking west / drawn from nature by Edwd. Sachse.	1856	United States District of Columbia Washington.
Birds eye view of the city of Washington from the dome of the U.S. Capitol [graphic] : Looking west / Lith. & print by A. Sachse & Co.	1860	United States District of Columbia Washington.
City Hall and Courthouse [graphic].	undefined	United States Alaska Juneau
City Hall [graphic].	undefined	United States Alaska Nome
View of city and mountains [graphic].	undefined	United States Alaska Wrangell
View of waterfront, city and mountains [graphic].	undefined	United States Alaska Valdez
View of city [graphic].	undefined	United States Alaska Juneau
View of city [graphic].	undefined	United States Alaska Juneau
View of city, mountains and cabelship (sic) "Burnside" in channel [graphic].	undefined	United States Alaska Juneau
View of city [graphic].	undefined	United States Alaska Sitka
View from edge of city [graphic].	undefined	United States Alaska Anchorage
View of city [graphic].	undefined	United States Alaska Ketchikan
City of tent homes [graphic].	undefined	United States Alaska Anchorage
View of city [graphic].	undefined	United States Alaska Wrangell
The City of Boston [graphic] / Parsons & Atwater del.	1873	United States Massachusetts Boston.
City Point Genl. Hd.qts-- 1864-5 [graphic].	undefined	United States Virginia City Point
Express--the mail boat between Washington and the army hd.qts. City Pt. [graphic].	undefined	United States District of Columbia Washington (D.C.) United States Virginia City Point
Explosion at City Point [graphic].	undefined	United States Virginia City Point
Camp of the second Connecticut regiment at Washington, in a grove on the north side of the city- Near th[e] New York 7th [graphic].	undefined	United States District of Columbia Washington (D.C.)
Monday's fight. The battle of Charles City road. Fought by Heintzelman and Franklin [graphic].	undefined	United States Virginia White Oak Swamp United States Virginia Charles City Road
From city point, looking down [graphic].	undefined	United States Virginia City Point United States Virginia James River
The place of exchange in the Savannah river looking toward the city, the rebel boat Beauregard coming down to meet the flag of truce [graphic].	undefined	United States Georgia Savannah United States Georgia Savannah River
Rebel pickets dead, in Fredericksburg. Pontoon bridge, Union batteries firing on the rebel works back of the city. From the hill in the background of picture [graphic].	undefined	United States Virginia Fredericksburg United States Virginia Rappahannock River
Wood Station. 2 miles from City point. Stationary engine, sawing wood [graphic].	undefined	United States Virginia City Point
Slocum's Artillery engaged with the enemy on the Charles City Road. (Seven days fighting) The 16th N.Y. Regt as supports [graphic].	undefined	United States Virginia White Oak Swamp
[Lincoln's coffin in the City Hall, Chicago] [graphic].	undefined	United States Illinois Chicago
View of the city of Fredericksburg, Va. [graphic].	undefined	United States Virginia Fredericksburg
Genl. Geo. B. McClellan passing through Frederick City Myd. at the head of the Army of the Potomac. Pursuit of Genl. Lee [graphic] / EF.	undefined	United States Maryland Frederick
Draw at Longbridge, Washington City [graphic].	undefined	United States District of Columbia Washington (D.C.)
One mile from Washington City Hall [graphic].	undefined	United States District of Columbia Washington (D.C.)
In Washington City--1839 [graphic].	undefined	United States District of Columbia Washington (D.C.)
Capitol and part of Washington City [graphic].	undefined	United States District of Columbia Washington (D.C.)
Near Pennsylv. Ave. and 7th St. At Washington City [graphic].	undefined	United States District of Columbia Washington (D.C.)
Washington city north of Capitol in 1839 [graphic].	undefined	United States District of Columbia Washington (D.C.)
Butte City [graphic].	undefined	United States California Butte City
[View of B.T. Babbitt's "best soap" factory buildings, New York City] [graphic] / J.A. Shearman.	undefined	United States New York New York
[Atlantic City idyl, New Jersey] [graphic].	undefined	United States New Jersey Atlantic City.
[View from 9D, 146 Central Park West, New York City] [graphic].	undefined	United States New York (State) New York.
[Statue of Atlas, Radio City, New York City] [graphic].	undefined	United States New York (State) New York.
[Statue of Atlas, Radio City, New York City] [graphic].	undefined	United States New York (State) New York.
[Statue of Atlas, Radio City, New York City] [graphic].	undefined	United States New York (State) New York.
[In the Cloisters, Ft. Tryon Park, New York City] [graphic].	undefined	United States New York (State) New York.
[Figure on Tomb, the Cloisters, New York City] [graphic].	undefined	United States New York (State) New York.
[Monument to Mayor de Peyster, Bowling Green, New York City] [graphic].	undefined	United States New York (State) New York.
[View of Central Park from apartment 9D, 146 Central Park West, New York City] [graphic].	undefined	United States New York (State) New York.
[View from 146 Central Park West, New York City] [graphic].	undefined	United States New York (State) New York.
[View from apartment 9D, 146 Central Park West, in the rain, New York City] [graphic].	undefined	United States New York (State) New York.
[View from 146 Central Park West, 9D, dawn, New York City] [graphic].	undefined	United States New York (State) New York.
[View of Central Park from apartment 9D, 146 Central Park West, New York City] [graphic].	undefined	United States New York (State) New York.
[View from apartment 9D, 146 Central Park West, New York City] [graphic].	undefined	United States New York (State) New York.
[View from 146 Central Park West apartment, 9D, New York City] [graphic].	undefined	United States New York (State) New York.
[View of Central Park from apartment 9D, 146 Central Park West, New York City] [graphic].	undefined	United States New York (State) New York.
[Iron work on Bank Street, New York City] [graphic].	undefined	United States New York (State) New York.
[Iron work on Bank Street, New York City] [graphic].	undefined	United States New York (State) New York.
[Clothesline from Doctors Hospital, New York City(?)] [graphic].	undefined	United States New York (State) New York.
Basin, or inner harbor, of the old city of Biserte [i.e. Bizerta, Tunisia] [graphic].	undefined	Tunisia Bizerta.
Oran from steps of City Hall [graphic].	undefined	Algeria Oran.
Wonsan - panoramic view of city and harbor (rt. half) [graphic].	undefined	Korea Wonsan.
Irkutsk - city hospital [graphic].	undefined	Russia Irkutsk.
Bizerta - basin, or the inner harbor, of the old city of Biserta [graphic].	undefined	Tunisia Bizerta.
Bizerta - basin, or the inner harbor, of the old city of Biserta [graphic].	undefined	Tunisia Bizerta.
